,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
655,Johnny Gargano & Tommaso Ciampa,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
656,Becky Lynch,victory,Natalya,Single Match,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
657,Gunther (c),victory,"Ricochet, Shinsuke Nakamura",Triple Threat,WWE Intercontinental Championship,-,1012,2023-11-05,2023-11-01,still champion
658,Carlito & Cruz Del Toro,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
659,Karrion Kross,victory,Butch,Single Match,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
660,Johnny Gargano & Tommaso Ciampa,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
661,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
662,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
663,Becky Lynch,victory,Natalya,Single Match,No Title Match,-,550,2023-11-04,2023-11-01,No Title Match
664,Gunther (c),victory,"Ricochet, Shinsuke Nakamura",Triple Threat,WWE Intercontinental Championship,-,1012,2023-11-04,2023-11-01,still champion
665,Sami Zayn,pinfall,JD McDonagh,Single Match,No Title Match,***¼,581,2023-11-04,2023-11-01,No Title Match
666,Seth Rollins (c),pinfall,Drew McIntyre,Single Match,WWE World Heavyweight Championship,****½,1103,2023-11-04,2023-11-01,still champion
667,Rhea Ripley (c),pinfall,"Nia Jax, Raquel Gonzalez, Shayna Baszler, Zoey Stark",Fatal Fourway,WWE Women's World Title,***¼,663,2023-11-04,2023-11-01,still champion
668,Solo Sikoa,pinfall,John Cena,Single Match,No Title Match,***½,968,2023-11-04,2023-11-01,No Title Match
669,Logan Paul,pinfall,Rey Mysterio (c),Single Match,WWE United States Championship (title change),***½,1072,2023-11-04,2023-11-01,new champion
670,Iyo Sky (c),pinfall,Bianca BelAir,Single Match,WWE Women's Championship (2016),***,993,2023-11-04,2023-11-01,still champion
671,Cody Rhodes,pinfall,Damian Priest,Single Match,No Title Match,***½,663,2023-11-04,2023-11-01,No Title Match
672,Roman Reigns (c),pinfall,L.A. Knight,Single Match,WWE Championship WWE Universal Championship,***½,1203,2023-11-04,2023-11-01,still champion
673,Butch & Ridge Holland,DQ,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
674,Butch & Drew McIntyre & Ridge Holland,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
675,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
676,Santos Escobar,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
677,Iyo Sky (c),victory,Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-10-31,2023-10-01,still champion
678,Elton Prince & Kit Wilson,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
679,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-10-31,2023-10-01,No Title Match
680,Katana Chance,victory,Blair Davenport,Single Match,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
681,Akira Tozawa,victory,Wes Lee,Single Match,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
682,Butch & Ridge Holland,DQ,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
683,Butch & Drew McIntyre & Ridge Holland,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
684,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
685,Santos Escobar,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
686,Iyo Sky (c),victory,Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-10-30,2023-10-01,still champion
687,Elton Prince & Kit Wilson,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
688,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-10-30,2023-10-01,No Title Match
689,Dominik Mysterio,pinfall,Ricochet,Single Match,No Title Match,-,685,2023-10-30,2023-10-01,No Title Match
690,Brutus Creed & Julius Creed,pinfall,Chad Gable & Otis,Tag Team,No Title Match,-,656,2023-10-30,2023-10-01,No Title Match
691,Johnny Gargano & Tommaso Ciampa,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,650,2023-10-30,2023-10-01,No Title Match
692,Xia Li,victory,Candice LeRae,Single Match,No Title Match,-,123,2023-10-30,2023-10-01,No Title Match
693,Seth Rollins,pinfall,JD McDonagh,Single Match,No Title Match,-,838,2023-10-30,2023-10-01,No Title Match
694,Chelsea Green,pinfall,Natalya,Single Match,No Title Match,-,332,2023-10-30,2023-10-01,No Title Match
695,Damian Priest,DQ,Sami Zayn,Single Match,No Title Match,-,538,2023-10-30,2023-10-01,No Title Match
696,Butch & Ridge Holland,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
697,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
698,Santos Escobar,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
699,Iyo Sky (c),victory,Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-10-29,2023-10-01,still champion
700,Elton Prince & Kit Wilson,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
701,Bobby Lashley,victory,Grayson Waller,Single Match,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
702,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-10-29,2023-10-01,No Title Match
703,Sami Zayn,DQ,Dominik Mysterio (c),Single Match,NXT North American Championship,-,586,2023-10-28,2023-10-01,still champion
704,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-10-28,2023-10-01,No Title Match
705,Rhea Ripley (c),victory,Raquel Rodriguez,Single Match,WWE Women's World Title,-,865,2023-10-28,2023-10-01,still champion
706,Giovanni Vinci & Ludwig Kaiser,victory,Chad Gable & Otis,Tag Team,No Title Match,-,550,2023-10-28,2023-10-01,No Title Match
707,Cody Rhodes,victory,The Miz,Single Match,No Title Match,-,550,2023-10-28,2023-10-01,No Title Match
708,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-28,2023-10-01,still champion
709,Gunther (c),victory,Bronson Reed,Single Match,WWE Intercontinental Championship,-,1012,2023-10-28,2023-10-01,still champion
710,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-28,2023-10-01,still champion
711,Kevin Owens,pinfall,Austin Theory,Single Match,No Title Match,-,439,2023-10-27,2023-10-01,No Title Match
712,Charlotte Flair & Shotzi,victory,Chelsea Green & Piper Niven,Tag Team,No Title Match,-,165,2023-10-27,2023-10-01,No Title Match
713,Elton Prince & Kit Wilson,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,742,2023-10-27,2023-10-01,No Title Match
714,Bianca BelAir,victory,Bayley,Single Match,No Title Match,-,801,2023-10-27,2023-10-01,No Title Match
715,Angelo Dawkins & Montez Ford,pinfall,Carlito & Santos Escobar,Tag Team,No Title Match,-,678,2023-10-27,2023-10-01,No Title Match
716,Shotzi,pinfall,Chelsea Green,Single Match,No Title Match,-,218,2023-10-27,2023-10-01,No Title Match
717,Dragon Lee,pinfall,Cedric Alexander,Single Match,No Title Match,-,499,2023-10-27,2023-10-01,No Title Match
718,L.A. Knight,pinfall,Jimmy Uso,Single Match,No Title Match,-,803,2023-10-27,2023-10-01,No Title Match
719,Sami Zayn,DQ,Dominik Mysterio (c),Single Match,NXT North American Championship,-,586,2023-10-27,2023-10-01,still champion
720,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-10-27,2023-10-01,No Title Match
721,Rhea Ripley (c),victory,Raquel Rodriguez,Single Match,WWE Women's World Title,-,865,2023-10-27,2023-10-01,still champion
722,Giovanni Vinci & Ludwig Kaiser,victory,Chad Gable & Otis,Tag Team,No Title Match,-,550,2023-10-27,2023-10-01,No Title Match
723,Gunther (c),victory,Bronson Reed,Single Match,WWE Intercontinental Championship,-,1012,2023-10-27,2023-10-01,still champion
724,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-27,2023-10-01,still champion
725,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-27,2023-10-01,still champion
726,Sami Zayn,DQ,Dominik Mysterio (c),Single Match,NXT North American Championship,-,586,2023-10-26,2023-10-01,still champion
727,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-10-26,2023-10-01,No Title Match
728,Rhea Ripley (c),victory,Raquel Rodriguez,Single Match,WWE Women's World Title,-,865,2023-10-26,2023-10-01,still champion
729,Giovanni Vinci & Ludwig Kaiser,victory,Chad Gable & Otis,Tag Team,No Title Match,-,550,2023-10-26,2023-10-01,No Title Match
730,Cody Rhodes,victory,The Miz,Single Match,No Title Match,-,550,2023-10-26,2023-10-01,No Title Match
731,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-26,2023-10-01,still champion
732,Gunther (c),victory,Bronson Reed,Single Match,WWE Intercontinental Championship,-,1012,2023-10-26,2023-10-01,still champion
733,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-26,2023-10-01,still champion
734,Sami Zayn,DQ,Dominik Mysterio (c),Single Match,NXT North American Championship,-,586,2023-10-25,2023-10-01,still champion
735,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-10-25,2023-10-01,No Title Match
736,Rhea Ripley (c),victory,Raquel Rodriguez,Single Match,WWE Women's World Title,-,865,2023-10-25,2023-10-01,still champion
737,Gunther (c),victory,Bronson Reed,Single Match,WWE Intercontinental Championship,-,1012,2023-10-25,2023-10-01,still champion
738,Cody Rhodes,victory,The Miz,Single Match,No Title Match,-,550,2023-10-25,2023-10-01,No Title Match
739,Giovanni Vinci & Ludwig Kaiser,victory,Chad Gable & Otis,Tag Team,No Title Match,-,550,2023-10-25,2023-10-01,No Title Match
740,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-25,2023-10-01,still champion
741,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-25,2023-10-01,still champion
742,Xia Li,victory,Katana Chance,Single Match,No Title Match,-,550,2023-10-23,2023-10-01,No Title Match
743,Tyler Bate,victory,Damon Kemp,Single Match,No Title Match,-,550,2023-10-23,2023-10-01,No Title Match
744,Kofi Kingston & Xavier Woods,pinfall,Chad Gable & Otis,Tag Team,No Title Match,-,617,2023-10-23,2023-10-01,No Title Match
745,Becky Lynch (c),submission,Indi Hartwell,Single Match,NXT Women's Title,-,556,2023-10-23,2023-10-01,still champion
746,Johnny Gargano,pinfall,Giovanni Vinci,Single Match,No Title Match,-,150,2023-10-23,2023-10-01,No Title Match
747,Chelsea Green & Piper Niven,pinfall,Natalya & Nikki Cross,Tag Team,No Title Match,-,192,2023-10-23,2023-10-01,No Title Match
748,Drew McIntyre,pinfall,Sami Zayn,Single Match,No Title Match,***½,895,2023-10-23,2023-10-01,No Title Match
749,Bronson Reed,pinfall,Akira Tozawa,Single Match,No Title Match,-,155,2023-10-23,2023-10-01,No Title Match
750,Damian Priest,pinfall,Jey Uso,Single Match,No Title Match,-,705,2023-10-23,2023-10-01,No Title Match
751,Raquel Rodriguez & Roxanne Perez,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
752,Austin Theory & Grayson Waller,victory,Cameron Grimes & Dragon Lee,Tag Team,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
753,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
754,Karrion Kross,victory,Butch,Single Match,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
755,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-10-22,2023-10-01,still champion
756,Santos Escobar,DQ,Bobby Lashley,Single Match,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
757,Carlito & Joaquin Wilde & Santos Escobar,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
758,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-10-22,2023-10-01,No Title Match
759,Santos Escobar,DQ,Bobby Lashley,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
760,Carlito & Joaquin Wilde & Santos Escobar,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
761,Shotzi,victory,Isla Dawn,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
762,Austin Theory,victory,Cameron Grimes,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
763,Karrion Kross,victory,Butch,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
764,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-10-21,2023-10-01,still champion
765,Raquel Rodriguez,victory,Bayley,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
766,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-10-21,2023-10-01,No Title Match
767,Michin & Shotzi,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-10-20,2023-10-01,No Title Match
768,Montez Ford,pinfall,Santos Escobar,Single Match,No Title Match,-,541,2023-10-20,2023-10-01,No Title Match
769,Austin Theory & Grayson Waller,pinfall,Cameron Grimes & Dragon Lee,Tag Team,No Title Match,-,363,2023-10-20,2023-10-01,No Title Match
770,Iyo Sky (c),pinfall,Charlotte Flair,Single Match,WWE Women's Championship (2016),***½,963,2023-10-20,2023-10-01,still champion
771,Xavier Woods,victory,Damian Priest,Single Match,No Title Match,-,435,2023-10-20,2023-10-01,No Title Match
772,Jey Uso,DQ,Drew McIntyre,Single Match,No Title Match,-,455,2023-10-20,2023-10-01,No Title Match
773,Akira Tozawa,victory,Nathan Frazer,Single Match,No Title Match,-,550,2023-10-16,2023-10-01,No Title Match
774,Chad Gable,victory,Trick Williams,Single Match,No Title Match,-,550,2023-10-16,2023-10-01,No Title Match
775,Shinsuke Nakamura,pinfall,Ricochet,Single Match,No Title Match,****,819,2023-10-16,2023-10-01,No Title Match
776,Piper Niven,pinfall,Natalya,Single Match,No Title Match,-,387,2023-10-16,2023-10-01,No Title Match
777,Ludwig Kaiser,pinfall,Johnny Gargano,Single Match,No Title Match,-,591,2023-10-16,2023-10-01,No Title Match
778,Rhea Ripley,DQ,Shayna Baszler,Single Match,No Title Match,-,335,2023-10-16,2023-10-01,No Title Match
779,Gunther (c),pinfall,Bronson Reed,Single Match,WWE Intercontinental Championship,****½,760,2023-10-16,2023-10-01,still champion
780,Damian Priest & Finn Bálor,pinfall,Cody Rhodes (c) & Jey Uso (c),Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship (title change),***¾,847,2023-10-16,2023-10-01,new champion
781,Sami Zayn,DQ,Jimmy Uso,Single Match,No Title Match,-,550,2023-10-15,2023-10-01,No Title Match
782,L.A. Knight & Sami Zayn,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-10-15,2023-10-01,No Title Match
783,Ricochet,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-10-15,2023-10-01,No Title Match
784,Cody Rhodes (c) & Jey Uso (c),victory,"Chad Gable & Otis, Giovanni Vinci & Ludwig Kaiser",Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-15,2023-10-01,still champion
785,Carlito & Joaquin Wilde,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-10-15,2023-10-01,No Title Match
786,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-10-15,2023-10-01,still champion
787,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-15,2023-10-01,still champion
788,Cody Rhodes (c) & Jey Uso (c),victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-10-14,2023-10-01,still champion
789,Dominik Mysterio (c),victory,Ricochet,Single Match,NXT North American Championship,-,586,2023-10-14,2023-10-01,still champion
790,L.A. Knight,victory,Jimmy Uso,Single Match,No Title Match,-,550,2023-10-14,2023-10-01,No Title Match
791,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2023-10-14,2023-10-01,still champion
792,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-10-14,2023-10-01,still champion
793,Carlito & Joaquin Wilde,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-10-14,2023-10-01,No Title Match
794,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-10-14,2023-10-01,still champion
795,Roman Reigns (c),victory,Sami Zayn,Single Match,WWE Championship WWE Universal Championship,-,1173,2023-10-14,2023-10-01,still champion
796,Elton Prince & Kit Wilson,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,541,2023-10-13,2023-10-01,No Title Match
797,Bayley,pinfall,Zelina Vega,Single Match,No Title Match,-,160,2023-10-13,2023-10-01,No Title Match
798,Cody Rhodes (c) & Jey Uso (c),pinfall,Austin Theory & Grayson Waller,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,564,2023-10-13,2023-10-01,still champion
799,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,753,2023-10-13,2023-10-01,No Title Match
800,Nikki Cross,victory,Kiana James,Single Match,No Title Match,-,550,2023-10-09,2023-10-01,No Title Match
801,Akira Tozawa,victory,Axiom,Single Match,No Title Match,-,550,2023-10-09,2023-10-01,No Title Match
802,Ivar,pinfall,Kofi Kingston,Single Match,No Title Match,-,665,2023-10-09,2023-10-01,No Title Match
803,Raquel Rodriguez,DQ,Nia Jax,Single Match,No Title Match,-,429,2023-10-09,2023-10-01,No Title Match
804,Bronson Reed,pinfall,"Chad Gable, Ricochet",Triple Threat,No Title Match,-,662,2023-10-09,2023-10-01,No Title Match
805,Drew McIntyre,pinfall,JD McDonagh,Single Match,No Title Match,-,239,2023-10-09,2023-10-01,No Title Match
806,Becky Lynch (c),submission,Tegan Nox,Single Match,NXT Women's Title,-,869,2023-10-09,2023-10-01,still champion
807,Cody Rhodes (c) & Jey Uso (c),pinfall,Kevin Owens & Sami Zayn,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1269,2023-10-09,2023-10-01,still champion
